brand,stars,reviewsCount,Category,price/value
PTron,4.1,4244.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1399.0
Gameson,2.6,16.0,Video Games › Legacy Systems › PlayStation Systems › PSP › Consoles,2998.0
TMG Store,4.0,3.0,Toys & Games › Electronic Toys › Handheld Games,999.0
ZEBSTER,3.2,820.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",349.0
BoAt,4.0,4414.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,899.0
Fujitsu,3.7,17.0,Computers & Accessories › Laptops › Traditional Laptops,73990.0
HP,4.1,1497.0,Computers & Accessories › Laptops › Traditional Laptops,38990.0
Sony,4.6,23299.0,Electronics › Electronics › Headphones › Over-Ear Headphones,7490.0
Sadhwanis,5.0,2.0,Toys & Games › Electronic Toys › Plug & Play Video Games,2699.0
IKALL,1.0,1.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,6299.0
PTron,3.6,18.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,598.0
AXVOLT,3.9,86.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",1299.0
Samsung,3.8,60.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,32849.0
Promate,4.0,73.0,Electronics › Wearable Technology › Smart Watches,5686.0
SAMTONIC,3.9,6.0,"Electronics › Home Theater, TV & Video › Televisions › Standard Televisions",5999.0
CUQI,4.2,459.0,Computers & Accessories › Monitors,14070.0
RFV1,4.5,6.0,Toys & Games › Electronic Toys › Plug & Play Video Games,2525.0
Jabra,4.3,138.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",19999.0
JXD,3.4,291.0,Toys & Games › Electronic Toys › Plug & Play Video Games,46262.7
FYURI,5.0,2.0,Toys & Games › Electronic Toys › Handheld Games,5499.0
MICROMINI,3.8,10.0,Video Games › Legacy Systems › PlayStation Systems › PSP › Consoles,6980.0
ZEBRONICS,3.9,11769.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",1099.0
Generic,3.1,99.0,Video Games › HandHeld Gaming,480.0
iQOO,4.5,781.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,52999.0
FASTSNAIL,4.3,67.0,Video Games › Legacy Systems › PlayStation Systems,10072.0
GSH,3.7,828.0,Toys & Games › Electronic Toys › Plug & Play Video Games,3499.0
JBL,4.1,205087.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",599.0
HP,4.0,1.0,Computers & Accessories › Laptops › Traditional Laptops,88990.0
YAMAHA,4.2,175.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",16670.0
Jabra,4.4,3614.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",14128.0
Whirlpool,4.0,2662.0,Home & Kitchen › Large Appliances › Refrigerators,25400.0
Meta Quest,4.4,298.0,Computers & Accessories › CE - Flat 250 off on CC - 5000,51999.0
Voacle,4.4,205.0,Toys & Games › Electronic Toys › Plug & Play Video Games,8499.0
Nintendo,4.6,158.0,Video Games › Online Game Services,29399.0
Portronics,4.0,3975.0,Electronics › Home Audio › Speakers › Outdoor Speakers,1849.0
Amazon basics,4.3,87.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",899.0
ASUS,4.0,98.0,Computers & Accessories › Laptops › Traditional Laptops,48622.0
Titan,3.7,16.0,Electronics › Wearable Technology › Smart Watches,9995.0
Noise,4.1,531.0,Electronics › Wearable Technology › Smart Watches,3499.0
Microsoft,4.6,3.0,Computers & Accessories › Laptops › Traditional Laptops,182990.0
Jabra,4.4,641.0,Electronics › Telephones & Accessories › Accessories › Headsets,14500.0
ASUS,3.9,404.0,Computers & Accessories › Laptops › Traditional Laptops,64990.0
ZEBRONICS,3.4,1483.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1449.0
Samsung,4.1,8.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,54898.0
DREAMHAX,4.4,90.0,Toys & Games › Electronic Toys › Plug & Play Video Games,13597.0
Sameo,4.6,3.0,Video Games › No Cost EMI | Automated,4899.0
Generic,5.0,1.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,64490.0
Lenovo,3.2,41.0,Computers & Accessories › Laptops › Traditional Laptops,16499.0
Samsung,4.5,201.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,134999.0
VW,4.2,1696.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",7499.0
JBL,4.4,32018.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,9998.0
Bose,4.0,33633.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",15990.0
Marshall,4.5,6413.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,26998.0
Panasonic,3.8,123.0,Electronics › Home Audio › Speakers › Tower Speakers,16390.0
Dell,4.6,3.0,Computers & Accessories › Laptops › Traditional Laptops,61519.0
Nintendo,4.6,3527.0,Video Games › Nintendo Switch › Consoles,32399.0
MSI,4.4,21.0,Computers & Accessories › Laptops › Traditional Laptops,36990.0
Sony,4.8,19007.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",52990.0
boAt,4.1,37091.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",399.0
Jlab,3.9,214.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,13736.0
Blaupunkt,3.8,11009.0,Electronics › Home Audio › Speakers › Soundbar Speakers,999.0
boAt,4.5,2.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,7499.0
boAt,4.1,62638.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",2799.0
Harman Kardon,4.6,142.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,16299.0
Edifier,4.5,395.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,15762.0
ASUS,4.0,97.0,Computers & Accessories › Laptops › Traditional Laptops,94990.0
GAMENOPHOBIA,3.3,68.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,889.0
BUYFLUX,5.0,1.0,"Electronics › Home Theater, TV & Video › Accessories › Cables › HDMI Cables",399.0
JBL,3.8,46326.0,"Electronics › Headphones, Earbuds & Accessories › Headphones",2899.0
TCL,4.1,3727.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",10490.0
Samsung,4.7,14.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,34950.0
Portronics,4.2,1305.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1899.0
Cintwor,4.0,82.0,Toys & Games › Electronic Toys › Handheld Games,26119.0
amazon basics,5.0,1.0,"Electronics › Home Theater, TV & Video › Accessories › Cables › HDMI Cables",549.0
Blaupunkt,3.8,11009.0,Electronics › Home Audio › Speakers › Soundbar Speakers,1299.0
Samsung,3.6,71.0,Computers & Accessories › Laptops › Traditional Laptops,120115.0
Redgear,4.2,19635.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,1699.0
BoAt,4.1,91789.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",399.0
iTronix,4.0,1018.0,Electronics › Wearable Technology › Smart Watches,149.0
Redmi,3.9,868.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,12499.0
iQOO,4.3,1493.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,30999.0
Amazon basics,3.8,3265.0,Electronics › Home Audio › Speakers › Soundbar Speakers,899.0
WEARFIT,2.2,3.0,Electronics › Wearable Technology › Smart Watches,5999.0
ASUS,3.7,64.0,Computers & Accessories › Laptops › Traditional Laptops,64990.0
Samsung,4.0,11727.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,15999.0
Tribit,4.4,10034.0,Electronics › Home Audio › Speakers › Outdoor Speakers,2399.0
Samsung,4.4,1184.0,Home & Kitchen › Large Appliances › Refrigerators,17990.0
pTron,3.4,854.0,Electronics › Wearable Technology › Smart Watches,999.0
soundcore,4.6,4981.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",4499.0
Fire-Boltt,4.2,127208.0,Fashion › Onam 2021 › Watches and fashion jewellery › Watches top brands,1999.0
OnePlus,4.1,42442.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,21999.0
2&CO,5.0,1.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,64980.0
BLUE STAR,3.8,109.0,Home & Kitchen › Large Appliances › Refrigerators,9690.0
LIVETONE,5.0,3.0,Electronics › Home Audio › Speakers › Tower Speakers,7399.0
JBL,3.8,46326.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",3999.0
ZEBRONICS,3.8,71429.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,399.0
ZEBRONICS,3.5,39743.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",169.0
esportic,3.4,31.0,Electronics › Wearable Technology › Smart Watches,899.0
Marshall,4.1,238.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,17998.0
Portronics,4.2,20815.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1499.0
realme,4.1,7394.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,14499.0
Viart Creation,5.0,1.0,Toys & Games › Electronic Toys › Plug & Play Video Games,5499.0
